year,world_avg,india,sub_saharan_africa,europe
2000,21.4,27.4,43.5,10.2
2001,21.0,26.8,43.1,10.1
2002,20.6,26.1,42.7,10.1
2003,20.2,25.4,42.3,10.1
2004,19.9,24.7,41.9,10.1
2005,19.5,24.0,41.4,10.2
2006,19.1,23.4,40.9,10.3
2007,18.8,22.7,40.4,10.4
2008,18.5,22.1,39.9,10.5
2009,18.2,21.5,39.3,10.6
2010,18.0,20.9,38.8,10.7
2011,17.8,20.4,38.2,10.5
2012,17.6,19.9,37.6,10.4
2013,17.4,19.4,37.0,10.3
2014,17.2,18.9,36.4,10.1
2015,17.0,18.4,35.8,9.9
2016,16.8,17.9,35.2,9.8
2017,16.6,17.4,34.6,9.7
2018,16.4,16.9,34.0,9.6
2019,16.2,16.4,33.4,9.5
2020,16.0,15.9,32.8,9.4
2021,15.8,15.4,32.2,9.3
2022,15.6,14.9,31.6,9.2
