year,global_anomaly_c,five_year_avg
1980,0.26,
1981,0.32,
1982,0.14,
1983,0.31,0.26
1984,0.16,0.25
1985,0.12,0.26
1986,0.18,0.22
1987,0.33,0.24
1988,0.40,0.26
1989,0.29,0.33
1990,0.44,0.36
1991,0.33,0.36
1992,0.23,0.35
1993,0.31,0.33
1994,0.45,0.35
1995,0.35,0.37
1996,0.33,0.38
1997,0.46,0.43
1998,0.63,0.49
1999,0.40,0.48
2000,0.42,0.49
2001,0.54,0.53
2002,0.62,0.57
2003,0.57,0.58
2004,0.62,0.59
2005,0.65,0.62
2006,0.55,0.64
2007,0.60,0.66
2008,0.62,0.68
2009,0.68,0.72
2010,0.75,0.74
2011,0.90,0.78
2012,0.87,0.82
2013,0.98,0.88
2014,0.92,0.90
2015,0.85,0.91
2016,1.01,0.93
2017,0.92,0.94
2018,0.83,0.95
2019,0.98,0.96
2020,1.02,0.97
2021,0.85,0.99
2022,0.89,1.00
2023,1.17,1.01
