year,active_conflicts,battle_deaths_thousands,high_intensity_wars,conflict_countries
1946,12,180,6,10
1947,13,120,6,11
1948,12,90,5,10
1949,11,85,4,9
1950,13,110,6,11
1951,14,60,5,11
1952,13,55,4,10
1953,14,70,4,11
1954,16,180,7,13
1955,15,90,5,12
1956,17,55,4,11
1957,16,60,4,11
1958,18,65,5,13
1959,20,80,6,14
1960,22,90,7,16
1961,24,100,8,18
1962,26,120,9,19
1963,27,110,9,19
1964,29,130,10,21
1965,30,120,10,22
1966,30,100,9,21
1967,29,80,8,20
1968,28,70,8,19
1969,29,90,9,20
1970,30,85,9,21
1971,31,80,10,22
1972,30,75,9,21
1973,30,70,9,21
1974,31,80,10,22
1975,33,90,11,24
1976,33,85,11,23
1977,34,80,11,24
1978,36,90,12,25
1979,37,100,12,26
1980,37,150,13,26
1981,38,200,14,27
1982,39,190,14,28
1983,40,180,14,28
1984,40,160,14,28
1985,41,150,15,29
1986,42,140,15,30
1987,43,130,15,30
1988,42,110,14,29
1989,40,100,13,28
1990,47,120,14,32
1991,48,170,15,34
1992,51,80,16,36
1993,46,90,14,33
1994,44,200,14,31
1995,42,70,12,29
1996,41,65,11,28
1997,40,60,10,27
1998,38,55,9,26
1999,36,50,8,25
2000,35,55,8,24
2001,34,60,8,23
2002,33,70,8,22
2003,32,80,7,22
2004,32,75,7,22
2005,33,65,7,22
2006,34,60,7,23
2007,34,55,7,24
2008,35,50,7,25
2009,36,55,7,25
2010,37,60,7,26
2011,37,75,7,26
2012,38,100,7,27
2013,40,120,8,28
2014,41,130,9,29
2015,42,150,10,30
2016,49,170,12,35
2017,49,150,11,35
2018,52,100,9,37
2019,54,80,8,38
2020,56,85,8,39
2021,56,90,8,39
2022,56,210,9,39
2023,59,122,9,34
2024,61,160,11,36
