year,value,label
2000,100.0,my_dataset
2001,102.5,my_dataset
2002,98.3,my_dataset
2003,105.1,my_dataset
2004,107.8,my_dataset
2005,103.2,my_dataset
2006,109.4,my_dataset
2007,112.0,my_dataset
2008,95.6,my_dataset
2009,98.1,my_dataset
2010,104.3,my_dataset
2011,108.7,my_dataset
2012,111.2,my_dataset
2013,115.4,my_dataset
2014,118.9,my_dataset
2015,122.1,my_dataset
2016,119.8,my_dataset
2017,124.5,my_dataset
2018,128.3,my_dataset
2019,131.0,my_dataset
2020,125.7,my_dataset
2021,129.4,my_dataset
2022,133.8,my_dataset
2023,137.2,my_dataset
